age,height,weight,span,pullup reps,pushup reps,continuoushang,maxhang,weightedpull,repeaters1,powl,powr,max_boulder_numeric,bouldergrade_numeric,sex_encoded
28.0,68.0,167.0,68.0,14.0,17.0,44.0,140.0,110.0,131.0,32.0,33.0,8.0,9.0,1.0
26.0,68.0,135.0,68.0,16.0,19.0,46.0,90.0,80.0,130.0,37.0,37.0,7.0,7.0,1.0
26.0,68.0,120.0,72.0,4.0,19.0,29.0,35.0,17.0,109.0,26.5,26.25,6.0,5.0,0.0
29.0,75.0,179.0,75.0,17.0,43.0,40.0,72.0,92.0,100.0,35.0,39.0,7.0,6.0,1.0
36.0,66.0,128.0,65.0,11.0,10.0,45.0,70.0,60.0,40.0,25.5,25.5,8.0,6.0,0.0
27.0,65.0,130.0,67.0,10.0,10.0,23.0,15.0,35.0,62.0,26.5,26.0,9.0,6.0,0.0
25.0,69.0,134.0,69.0,24.0,43.0,64.0,90.0,115.0,293.0,34.0,35.0,12.0,12.0,1.0
25.0,74.0,174.0,76.0,28.0,32.0,71.0,150.0,122.0,356.0,38.0,42.0,8.0,8.0,1.0
33.0,68.0,149.0,69.0,21.0,29.0,73.0,110.0,95.0,156.0,40.5,41.0,10.0,9.0,1.0
32.0,70.0,176.0,71.85,12.0,31.0,35.0,40.0,70.0,76.0,34.0,35.0,6.0,5.0,1.0
33.0,69.5,145.0,69.5,24.0,35.0,60.0,88.0,124.0,225.0,36.0,36.0,10.0,9.0,1.0
23.0,69.0,154.0,71.0,9.0,26.0,20.0,21.0,45.0,63.0,32.025,31.71,0.0,5.0,1.0
26.0,70.0,155.0,70.0,10.0,2.0,35.8,40.0,35.0,106.7,28.105,27.6,6.0,6.0,0.0
27.0,67.0,150.0,67.0,40.0,60.0,35.0,60.0,120.0,80.0,40.0,40.0,5.0,6.0,1.0
31.0,71.5,140.0,72.5,30.0,50.0,79.0,95.0,100.0,330.0,29.3,29.35,10.0,8.0,1.0
39.0,66.0,136.0,64.0,9.0,15.0,21.0,23.0,35.4,56.0,26.85,26.35,5.0,4.0,0.0
39.0,68.0,159.0,68.0,10.5,25.0,30.0,40.0,60.0,116.5,31.435,31.925,5.0,5.0,1.0
30.0,71.0,180.0,80.05,15.0,40.0,5.0,14.6,82.9,78.3,35.275,35.335,0.0,4.0,1.0
28.0,76.4,183.0,77.0,15.0,24.0,40.0,74.0,88.0,100.5,37.25,35.75,5.0,4.0,1.0
35.0,70.0,152.0,72.0,16.0,32.0,52.0,58.0,60.0,199.8,27.53,28.125,0.0,6.0,1.0
25.0,65.0,108.0,65.0,6.0,12.0,42.0,30.0,25.0,116.0,31.32,31.385,8.0,6.0,0.0
34.0,70.0,158.0,70.0,19.0,37.0,55.0,70.0,100.0,163.7,28.98,29.3,11.0,10.0,1.0
25.0,71.0,147.0,73.0,15.0,25.0,36.0,50.0,81.0,103.0,33.275,34.075,9.0,7.0,1.0
26.0,68.0,140.0,66.0,9.0,20.0,3.0,0.0,25.0,0.0,31.675,32.175,4.0,4.0,0.0
36.0,70.0,164.0,70.0,4.0,22.0,26.0,36.0,7.0,36.0,31.625,31.125,0.0,2.0,0.0
